project_name,county,Fuel,Capacity (MW),latitude,longitude,GIM Study Phase,Interconnecting Entity,Projected COD
Kilby1 Part 6 Large Block Combined Cycle,Reeves,GAS,1056.0,31.232003,-103.6583657,"SS Completed, FIS Started, No IA",Energy Forge One LLC,2029-07-19
Riviera Gas,Bell,GAS,636.9,31.0081659,-97.4314413,"SS Completed, FIS Started, No IA",BKV-BPP Power ,2030-06-14
Cerulean Phase 2 – CCGT,Victoria,GAS,1264.6,28.8026443,-96.9766308,"SS Completed, FIS Started, No IA","Brother 1, LLC",2031-10-17
Victory Ellis  – Gas,Ellis,GAS,465.92,32.3347829,-96.7920233,"SS Started, FIS Started, No IA","Victory Ellis, LLC",2028-12-31
Valentine Energy Center,Pecos,GAS,162.3,30.7857437,-102.8065415,"SS Completed, FIS Started, No IA","Valentine Energy Center, LLC",2028-11-28
BM Freestone Energy Center,Freestone,GAS,990.6,31.6924428,-96.1629601,"SS Completed, FIS Started, No IA",Black Mountain Energy Storage II,2029-09-20
Flurry Gas 1,Midland,GAS,109.8,31.83688,-102.0103767,"SS Completed, FIS Started, No IA",NET Power Canaveral LLC,2029-04-16
Tyler Rose Power Plant 1,Grimes,GAS,597.36,30.5169334,-95.9943034,"SS Started, FIS Started, No IA","ProEnergy Services, LLC",2029-07-01
Tyler Rose Power Plant 2,Grimes,GAS,398.24,30.5169334,-95.9943034,"SS Started, FIS Started, No IA"," ProEnergy Services, LLC",2029-12-01
Bobcat Generating Station,Caldwell,GAS,450.0,29.8298971,-97.5959641,"SS Started, FIS Started, No IA","Critical Grid Solutions Bobcat, LLC",2029-11-01
Pampa Natural Gas ,Roberts,GAS,250.7,35.8309752,-100.8058034,"SS Started, FIS Started, No IA",IP Meitner Gas,2030-01-01
Aurelius 3 Natural Gas,Deaf Smith,GAS,1275.0,34.9323974,-102.5983118,"SS Started, FIS Started, No IA","IP Roman III Gas, LLC",2029-06-30
Alpha Power Phase 2,Guadalupe,GAS,400.1,29.6480061,-97.8279576,"SS Started, FIS Started, No IA","Palomino Alpha, LLC",2029-12-31
Willow Oak Gas ,Jefferson,GAS,1350.0,29.834772,-94.1704496,"SS Completed, FIS Started, No IA",Willow Oak Energy LLC,2030-01-01
Caldwell County Energy Center,Caldwell,GAS,1500.0,29.8298971,-97.5959641,"SS Completed, FIS Started, No IA","Caldwell County Energy Center, LLC",2030-04-30
Sim Gideon Combined Cycle,Bastrop,GAS,880.0,30.0541116,-97.3887764,"SS Completed, FIS Started, IA",LCRA,2030-12-15
Lost Pines Power Park,Bastrop,GAS,880.0,30.0541116,-97.3887764,"SS Completed, FIS Started, IA",LCRA,2033-06-01
SCHNEIDER COMBINED CYCLE,Caldwell,GAS,880.0,29.8298971,-97.5959641,"SS Completed, FIS Started, IA",LCRA,2032-04-13
Prairie Ridge (Gas - CC),Franklin,GAS,1660.4,33.2002659,-95.2231752,"SS Completed, FIS Started, No IA","Tenaska Power Generation, LLC",2032-06-01
Bulldog Power II,Brazoria,GAS,311.0,29.18161,-95.4993375,"SS Completed, FIS Started, No IA",Bulldog Power II LLC,2030-09-30
Moon Hammer,Wheeler,GAS,1300.0,35.3921902,-100.2632764,"SS Completed, FIS Started, IA",Moon Hammer LLC,2030-11-30
